Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1972040,0,9,LA,IX31218,LA - i-doxs Payment Fee Approved - IVR_CC_AX,EA,1563,1563,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,10,LA,IX31220,LA - i-doxs Payment Fee Approved - IVR_CC_MC,EA,26782,26782,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,11,LA,IX31221,LA - i-doxs Payment Fee Approved - IVR_CC_VI,EA,60136,60136,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,12,LA,IX31238,LA - i-doxs Payment Fee Approved - ONE_CC_AX,EA,15,15,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,13,LA,IX31239,LA - i-doxs Payment Fee Approved - ONE_CC_DI,EA,3,3,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,14,LA,IX31240,LA - i-doxs Payment Fee Approved - ONE_CC_MC,EA,35,35,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,15,LA,IX31241,LA - i-doxs Payment Fee Approved - ONE_CC_VI,EA,98,98,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,16,LA,IX31267,LA - i-doxs Payment Fee Approved - VBS_ACH_ECP,EA,531062,531062,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,17,LA,IX31268,LA - i-doxs Payment Fee Approved - VBS_CC_AX,EA,52660,52660,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,18,LA,IX31269,LA - i-doxs Payment Fee Approved - VBS_CC_DI,EA,11049,11049,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,19,LA,IX31270,LA - i-doxs Payment Fee Approved - VBS_CC_MC,EA,139631,139631,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,20,LA,IX31271,LA - i-doxs Payment Fee Approved - VBS_CC_VI,EA,451965,451965,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,21,LA,IX31288,LA - i-doxs Payment Fee Approved - CSR_CC_AX,EA,251,251,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,22,LA,IX31289,LA - i-doxs Payment Fee Approved - CSR_CC_DI,EA,17,17,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,23,LA,IX31290,LA - i-doxs Payment Fee Approved - CSR_CC_MC,EA,736,736,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,24,LA,IX31291,LA - i-doxs Payment Fee Approved - CSR_CC_VI,EA,2217,2217,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,25,LA,IX31702,LA - i-doxs Remittance Fee Approved - VBS,EA,1175106,1175106,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
